Feature,Spearman_rho,p_value
CTDT_hydrophobicity_ENGD860101.Tr1331,0.2424251623129198,0.4248608396164144
CTriad_g3.g2.g5,0.24230654175704425,0.4250945242752132
CTriad_g2.g1.g7,0.23779501383916804,0.4340298291180995
CTriad_g5.g4.g1,0.23237070196699366,0.44489454540899087
CTDT_charge.Tr1221,0.23204774044612855,0.4455455789569255
CTriad_g2.g7.g1,0.23145502494313785,0.44674159662419666
CTriad_g6.g4.g5,0.23145502494313785,0.44674159662419666
CTriad_g2.g4.g6,0.23145502494313785,0.44674159662419666
CTDT_hydrophobicity_ENGD860101.Tr2332,-0.2283358418705027,0.4530613463425497
CTriad_g2.g3.g4,0.22772053067726283,0.4543130984128523
CTriad_g4.g2.g5,0.2273493478214242,0.4550690162892481
CTDC_normwaalsvolume.G2,0.22527472527472525,0.4593051427250058
CTriad_g5.g2.g1,-0.2163763561274577,0.4776865467965218
AAC_K,0.21517425595870956,0.4801957872242605
CTDT_hydrophobicity_FASG890101.Tr1331,0.2145806706734845,0.48143708867618085
